Inj.,Injection Name,Type ,Level ,Vial,Volume ,RT,Expected RT,Quant Ion,Area,Amount ,Theo. Amt ,Concentration ,RF,ISTD Amount ,ISTD Area ,Comment 
No.,Selected Peak:,,,Pos'n,µL,min,min,m/z,counts*min,n.a.,n.a.,n.a.,,n.a.,counts*min,
,,,,,,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,
,,,,,,[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],
255,Blank 3/14,Unknown,,9,2,8.91,n.a.,n.a.,13117,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
256,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
257,Bee sample 89,Unknown,,10,2,8.93,n.a.,n.a.,15939,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
258,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
259,Bee sample 92,Unknown,,11,2,9.05,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
260,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
261,Bee sample 58,Unknown,,12,2,9,n.a.,n.a.,8548,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
262,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
263,Bee sample 47,Unknown,,13,2,9,n.a.,n.a.,8516,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
264,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
265,Bee sample 48,Unknown,,2,2,9,n.a.,n.a.,14160,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
266,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
267,Bee sample 102,Unknown,,3,2,9,n.a.,n.a.,6840,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
268,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
269,Bee sample 56,Unknown,,4,2,9,n.a.,n.a.,10717,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
270,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
271,Bee sample 98,Unknown,,5,2,9,n.a.,n.a.,8181,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
272,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
273,Bee sample 101,Unknown,,6,2,9,n.a.,n.a.,6913,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
274,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
275,Bee sample 106,Unknown,,7,2,9,n.a.,n.a.,6712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
276,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
277,Blank 3/26,Unknown,,8,2,8.89,n.a.,n.a.,14812,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
278,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
279,Bee sample 35,Unknown,,9,2,9,n.a.,n.a.,5774,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
280,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
281,Bee sample 85,Unknown,,10,2,8.93,n.a.,n.a.,15306,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
282,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
283,Bee sample 88,Unknown,,11,2,9,n.a.,n.a.,7452,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
284,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
285,Bee sample 90,Unknown,,12,2,8.96,n.a.,n.a.,7569,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
286,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
287,Bee sample 97,Unknown,,13,2,9,n.a.,n.a.,7443,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
288,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
289,Bee sample 103,Unknown,,2,2,8.93,n.a.,n.a.,14448,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
290,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
291,Bee sample 104,Unknown,,3,2,9,n.a.,n.a.,6819,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
292,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
293,Blank 3/28,Unknown,,4,2,8.9,n.a.,n.a.,13865,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
294,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
295,Bee sample 112,Unknown,,5,2,8.97,n.a.,n.a.,7481,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
296,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
